,Name,symbol,Emissions (tCO2e),PARENT CO. PERCENT OWNERSHIP
DTE ENERGY CO,Monroe,DTB,13059155.244,100.0
DTE ENERGY CO,River Rouge,DTB,223395.252,100.0
DTE ENERGY CO,St. Clair,DTB,1915685.558,100.0
DTE ENERGY CO,Trenton Channel,DTB,347088.628,100.0
DTE ENERGY CO,Renaissance Power,DTB,688856.048,100.0
DTE ENERGY CO,Belle River,DTB,4601279.608,100.0
DTE ENERGY CO,Greenwood,DTB,585399.072,100.0
DTE ENERGY CO,Belle River Compressor Station,DTB,58292.494,100.0
DTE ENERGY CO,WASHINGTON 10 STORAGE (MICHIGAN CONSOLIDATED),DTB,30766.088,100.0
DTE ENERGY CO,DTE Energy Michcon LDC,DTB,423970.448,100.0
DTE ENERGY CO,Indiana Harbor Coke Company,DTB,1177364.618,15.0
DTE ENERGY CO,EES COKE BATTERY,DTB,189802.426,100.0
DTE ENERGY CO,"DTE Atlantic, LLC",DTB,42655.688,100.0
DTE ENERGY CO,Milford Compressor Station,DTB,59106.54,100.0
DTE ENERGY CO,Taggart (Six Lakes) Compressor Station,DTB,37749.672,100.0
DTE ENERGY CO,HANCOCK COMPRESSOR STATION,DTB,80266.904,26.25
DTE ENERGY CO,MINISINK COMPRESSOR STATION,DTB,52784.208,26.25
DTE ENERGY CO,Millennium Pipeline Company LLC Corning Compressor Station,DTB,35196.572,26.25
DTE ENERGY CO,Bluestone Gathering System,DTB,303111.138,100.0
DTE ENERGY CO,"Susquehanna Gathering Company, LLC",DTB,288935.088,100.0
DTE ENERGY CO,"DTE Appalachia Gathering, LLC",DTB,167520.982,100.0
DTE ENERGY CO,"DTE Louisiana Gathering, LLC 230 - Arkla Basin GB",DTB,572487.042,100.0
DTE ENERGY CO,Millennium - Highland CS,DTB,34195.024,26.25
DTE ENERGY CO,DTE Electric Company - Dearborn Energy Center,DTB,140314.772,100.0
DUKE ENERGY CORP,Osprey Energy Center,DUK,934730.536,100.0
DUKE ENERGY CORP,Mill Creek Combustion Turbine Sta,DUK,50596.954,100.0
DUKE ENERGY CORP,University of Florida Cogeneration Plant,DUK,168745.422,100.0
DUKE ENERGY CORP,H F Lee Steam Electric Plant,DUK,2312716.414,100.0
DUKE ENERGY CORP,Roxboro Steam Electric Plant,DUK,5198616.712,100.0
