IEFA: iShares Core MSCI EAFE ETF
Inception Date: 2012-10-18
Fund Holdings as of: 2022-04-13
Total Assets Under Management (in thousands):	98741000
Shares Outstanding: 1445600000
Expense Ratio: 0.07%
Tracks This Index: MSCI EAFE Investable Market Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Blackrock Financial Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IEFA


Holding,Symbol,Weighting
BANDAI NAMCO Holdings Inc.,7832,0.08%
NIPPON STEEL CORP.,5401,0.08%
NICE Ltd,NICE,0.08%
Sun Hung Kai Properties Limited,16,0.08%
James Hardie Industries PLC Chess Units of Foreign Securities,JHX,0.07%
Chocoladefabriken Lindt & Spruengli AG Partizipsch.,LISP,0.07%
Porsche Automobil Holding SE Pref,PAH3,0.07%
Julius Baer Gruppe AG,BAER,0.07%
Bunzl plc,BNZL,0.07%
NTT DATA Corporation,9613,0.07%
Fresenius Medical Care AG & Co. KGaA,FME,0.07%
Svenska Cellulosa AB SCA Class B,SCA.B,0.07%
Jardine Matheson Holdings Limited,J36,0.07%
QBE Insurance Group Limited,QBE,0.07%
Brenntag SE,BNR,0.07%
Credit Agricole SA,ACA,0.07%
Royal KPN NV,KPN,0.07%
"MS&AD Insurance Group Holdings, Inc.",8725,0.07%
Telstra Corporation Limited,TLS,0.07%
Rentokil Initial plc,RTO,0.07%
Advantest Corp.,6857,0.07%
"Daiwa House Industry Co., Ltd.",1925,0.07%
"AEON Co., Ltd.",8267,0.07%
InterContinental Hotels Group PLC,IHG,0.07%
Publicis Groupe SA,PUB,0.07%
Renesas Electronics Corporation,6723,0.07%
"Sumitomo Metal Mining Co., Ltd.",5713,0.07%
Norsk Hydro ASA,NHY,0.07%
"Ajinomoto Co., Inc.",2802,0.07%
"Sompo Holdings,Inc.",8630,0.07%
CK Asset Holdings Limited,1113,0.07%
Mowi ASA,MOWI,0.07%
INPEX CORPORATION,1605,0.07%
Edenred SA,EDEN,0.07%
TDK Corporation,6762,0.07%
Swedish Match AB,SWMA,0.07%
Sysmex Corporation,6869,0.07%
Chocoladefabriken Lindt & Spruengli AG,LISN,0.07%
Sonic Healthcare Limited,SHL,0.07%
Carrefour SA,CA,0.07%
Spirax-Sarco Engineering PLC,SPX,0.07%
Hong Kong & China Gas Co. Ltd.,3,0.07%
"Ferrovial, S.A.",FER,0.07%
Logitech International S.A.,LOGN,0.07%
"Otsuka Holdings Co., Ltd.",4578,0.07%
Halma plc,HLMA,0.07%
Epiroc AB Class A,EPI.A,0.07%
Galaxy Entertainment Group Limited,27,0.07%
Carlsberg AS Class B,CARL.B,0.07%
Teva Pharmaceutical Industries Limited Sponsored ADR,TEVA,0.06%
