VEA: Vanguard FTSE Developed Markets ETF
Inception Date: 2007-07-20
Fund Holdings as of: 2022-02-28
Total Assets Under Management (in thousands):	105776000
Shares Outstanding: 2239580000
Expense Ratio: 0.05%
Tracks This Index: FTSE Developed ex US All Cap Net Tax (US RIC) Index
ETF Database Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VEA


Holding,Symbol,Weighting
Bunzl plc,BNZL,0.06%
Croda International Plc,CRDA,0.06%
Fresenius Medical Care AG & Co. KGaA,FME,0.06%
Smurfit Kappa Group Plc,SKG,0.06%
"Hang Seng Bank, Limited",11,0.06%
Svenska Handelsbanken AB Class A,SHB.A,0.06%
Brenntag SE,BNR,0.06%
Singapore Telecommunications Limited,Z74,0.06%
Unicharm Corporation,8113,0.06%
Novozymes A/S Class B,NZYM.B,0.06%
"Kirin Holdings Company, Limited",2503,0.06%
H&M Hennes & Mauritz AB Class B,HM.B,0.06%
Z Holdings Corporation,4689,0.06%
Shaw Communications Inc. Class B,SJR.B,0.06%
Rentokil Initial plc,RTO,0.06%
UCB S.A.,UCB,0.06%
Investor AB Class A,INVE.A,0.06%
CNH Industrial NV,CNHI,0.06%
"Celltrion, Inc.",068270,0.06%
MTU Aero Engines AG,MTX,0.06%
InterContinental Hotels Group PLC,IHG,0.06%
Norsk Hydro ASA,NHY,0.06%
"Ajinomoto Co., Inc.",2802,0.06%
"Eisai Co., Ltd.",4523,0.06%
"Sompo Holdings,Inc.",8630,0.06%
"Secom Co., Ltd.",9735,0.06%
CaixaBank SA,CABK,0.06%
Loblaw Companies Limited,L,0.06%
Zalando SE,ZAL,0.06%
A.P. Moller - Maersk A/S Class A,MAERSK.A,0.06%
Lasertec Corp.,6920,0.06%
TDK Corporation,6762,0.06%
Kikkoman Corporation,2801,0.06%
BOC Hong Kong (Holdings) Limited,2388,0.06%
Kuehne & Nagel International AG,KNIN,0.06%
"Nomura Holdings, Inc.",8604,0.06%
EDP-Energias de Portugal SA,EDP,0.06%
Carrefour SA,CA,0.06%
"Ferrovial, S.A.",FER,0.06%
"Otsuka Holdings Co., Ltd.",4578,0.06%
Entain PLC,ENT,0.06%
BANDAI NAMCO Holdings Inc.,7832,0.06%
