Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Emissions from Gathering & Boosting by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported emissions from Gathering & Boosting,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012742,110070082475,Callon (Eagle Ford) LLC - Basin 220 GB,"220 - Gulf Coast Basin (LA, TX)",Houston,TX,77042,"2000 W. Sam Houston South, Suite 2000",,29.75788,-95.37013,211120,W-GB,"340,928.08","239,679.20","101,119.25",129.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013086,110070082471,"Catarina Midstream, LLC 220 Gulf Coast Basin GB","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77002,"1000 Main Street, Suite 3000",HARRIS COUNTY,29.75661,-95.36528,486210,W-GB,"125,501.42","115,889.30","9,547.75",64.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012325,110070082236,"Chesapeake Operating LLC, 220 - Gulf Coast Basin G&B","220 - Gulf Coast Basin (LA, TX)",Oklahoma City,OK,73118,6100 N. Western Avenue,OKLAHOMA COUNTY,35.53376,-97.52976,211120,W-GB,"23,207.30","18,545.30","4,646.50",15.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012257,110002701238,Chevron MCA 260 East Texas Basin Gathering and Boosting,260 - East Texas Basin,San Ramon,CA,94583,6001 Bollinger Canyon Road,CONTRA COSTA COUNTY,37.795963,-122.022317,211130,W-GB,"28,029.37","7,806.50","20,219.00",3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012305,110002701238,Chevron MCA 430 Permian Basin Gathering and Boosting,430 - Permian Basin,San Ramon,CA,94583,6001 Bollinger Canyon Road,CONTRA COSTA COUNTY,37.795963,-122.022317,211130,W-GB,"868,083.51","786,083.80","81,584.00",415.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012311,110002701238,Chevron MCA 595 Piceance Basin Gathering and Boosting,595 - Piceance Basin,San Ramon,CA,94583,6001 Bollinger Canyon Road,CONTRA COSTA COUNTY,37.795963,-122.022317,211130,W-GB,"26,326.62","20,218.50","6,096.50",11.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012708,110070082455,Cimarex Energy Co - 430 Permian Boosting and Gathering,430 - Permian Basin,Tulsa,OK,74103,202 S Cheyenne,TULSA COUNTY,36.15326,-95.99381,211130,W-GB,"729,591.06","665,824.20","63,410.75",356.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012146,110002701238,Coastal Basin Gathering & Boosting - Chevron USA Inc.,740 - Coastal Basins,San Ramon,CA,94583,6001 Bollinger Canyon Rd.,CONTRA COSTA COUNTY,37.795963,-122.022317,211120,W-GB,"178,482.15","175,764.90","2,621.00",96.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013311,110070525487,Cogent Midstream WesTex 430 Permian G&B,430 - Permian Basin,Dallas,TX,75201,"2000 McKinney, Suite 400",DALLAS COUNTY,32.79111,-96.80345,486210,W-GB,"394,655.74","361,662.10","32,791.00",202.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013952,110070931013,Collegiate Midstream LLC,430 - Permian Basin,Midland,TX,79701,"500 W Wall Street, Suite 300",MIDLAND COUNTY,31.99741,-102.07963,213112,W-GB,"55,890.99","52,639.50","3,228.25",23.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
