Summary data collected by the Greenhouse Gas Reporting Program for 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 08/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Emissions from Onshore Oil & Gas Production by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,Basin,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported emissions from Onshore Oil & Gas Production ,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Does the facility employ continuous emissions monitoring? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009732,110037899021,BKV Operating LLC,160A - Appalachian Basin (Eastern Overthrust Area),Denver,CO,80202,"1200 17th Street, Suite 2100",HARRIS COUNTY,29.75788,-95.37013,211130,W-ONSH,"79,943.10","38,145.10","41,776.25",21.75,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008548,110055513635,BOC 220 Gulf Coast Basin Onshore,"220 - Gulf Coast Basin (LA, TX)",Wichita Falls,TX,76301,810 Eighth Street,WICHITA COUNTY,33.91154,-98.49282,211120,W-ONSH,"19,749.44","1,480.80","18,267.75",0.89,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013289,,BPH PowderRiverBasinWY,515 - Powder River Basin,Billings,MT,59102,845 12th Street West,,43.59429527,-105.67343323,211120,W-ONSH,"44,226.69","41,663.60","2,539.25",23.84,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008492,110004766129,"BPX Energy Arkla Basin, AAPG Basin 230",230 - Arkla Basin,Houston,TX,77079,501 Westlake Park Blvd.,TULSA COUNTY,29.7530996,-95.4621203,211130,W-ONSH,"53,592.50",251.50,"53,341.00",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008632,,"BPX Energy Permian Basin, AAPG Basin 430",430 - Permian Basin,Houston,TX,77079,501 Westlake Park Blvd,,36.0613546,-95.9515399,211130,W-ONSH,"821,395.58","750,726.50","70,196.75",472.33,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008630,110004766129,"BPX Energy Petrohawk Gulf Coast Basin, AAPG Basin 220","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77079,501 Westlake Park Blvd,TULSA COUNTY,29.7530996,-95.4621203,211130,W-ONSH,"299,617.64","228,463.50","70,936.00",218.14,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010319,110055519577,BREITBURN OPERATING LP-BASIN 507,507 - Central Western Overthrust,GREEN RIVER,WY,82935,"20 SHOSHONE AVE., STE B",SWEETWATER COUNTY,41.50926,-109.47323,211120,W-ONSH,"12,326.85",962.50,"11,363.75",0.60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010157,110055519577,BREITBURN OPERATING LP-BASIN 535,535 - Green River Basin,GREEN RIVER,WY,82935,"20 SHOSHONE AVE., STE B",SWEETWATER COUNTY,41.50926,-109.47323,211120,W-ONSH,"52,411.54","1,540.90","50,869.75",0.89,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012945,,"Basin 220 - S2 Energy Operating, LLC","220 - Gulf Coast Basin (LA, TX)",Covington,LA,70433,200 Caroline Court,,30.4587407,-90.1307797,211120,W-ONSH,"44,066.86","24,563.90","19,489.25",13.71,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008576,110040414851,Basin 220 South TX & South LA - OSP,"220 - Gulf Coast Basin (LA, TX)",Dallas,TX,75201,1900 N. Akard St.,DALLAS COUNTY,32.7871,-96.80262,211120,W-ONSH,607.15,0.90,606.25,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
